clothing_id,age_group,rating,recommended_ind,positive_feedback_count,division_name,category,review_date
836,18 to 24,5,1,3,General,Tops,26/07/2017
1081,35 to 54,5,1,0,General,Dresses,11/7/17
861,35 to 54,1,0,11,General Petite,Tops,7/7/17
1081,35 to 54,3,1,4,General,Dresses,1/6/17
836,35 to 54,5,1,24,General,Tops,1/6/17
1081,55 to 64,5,1,3,General,Dresses,9/5/17
1082,25 to 34,2,0,0,General,Dresses,1/5/17
863,35 to 54,4,1,0,General,Tops,18/05/2017
1072,35 to 54,4,1,1,General,Dresses,10/10/17
1078,25 to 34,5,1,2,General Petite,Dresses,12/9/17
850,35 to 54,2,0,0,General,Tops,6/9/17
836,35 to 54,5,1,4,General,Tops,30/08/2017
861,25 to 34,5,1,0,General Petite,Tops,18/09/2017
966,55 to 64,5,1,0,General,Jackets,31/07/2017
1196,25 to 34,5,1,0,General Petite,Dresses,1/8/17
836,18 to 24,5,1,0,General,Tops,26/07/2017
923,35 to 54,3,0,2,General,Tops,1/6/17
1072,25 to 34,3,1,1,General,Dresses,1/6/17
1133,65+,4,1,0,General,Jackets,9/5/17
1133,25 to 34,5,1,0,General,Jackets,1/5/17
966,35 to 54,4,1,0,General,Jackets,18/05/2017
863,25 to 34,5,1,0,General,Tops,30/03/2017
845,55 to 64,4,1,3,General Petite,Tops,10/3/17
1081,35 to 54,3,1,0,General,Dresses,4/3/17
861,35 to 54,4,1,1,General Petite,Tops,12/1/18
966,35 to 54,5,1,0,General,Jackets,4/5/18
845,65+,5,1,12,General Petite,Tops,9/1/18
861,35 to 54,4,1,0,General Petite,Tops,18/11/2017
966,25 to 34,4,1,0,General,Jackets,1/6/18
836,35 to 54,4,1,0,General,Tops,10/10/17
126,25 to 34,4,1,1,Initmates,Intimate,6/9/17
1008,25 to 34,5,1,1,General,Bottoms,30/08/2017
829,35 to 54,5,1,0,General,Tops,18/09/2017
828,35 to 54,4,1,2,General,Tops,12/8/17
1126,35 to 54,5,1,0,General,Jackets,31/07/2017
1008,35 to 54,5,1,0,General,Bottoms,1/8/17
829,35 to 54,3,0,9,General,Tops,26/07/2017
828,35 to 54,3,1,2,General,Tops,31/05/2017
1008,35 to 54,5,1,0,General,Bottoms,18/05/2017
1011,35 to 54,5,1,1,General,Bottoms,10/3/17
1008,55 to 64,5,1,0,General,Bottoms,4/3/17
1008,35 to 54,5,1,2,General,Bottoms,3/3/17
1008,35 to 54,5,1,1,General,Bottoms,18/11/2017
1008,35 to 54,4,1,0,General,Bottoms,29/08/2017
829,35 to 54,3,0,0,General,Tops,22/08/2017
829,35 to 54,3,1,1,General,Tops,19/08/2017
829,35 to 54,3,1,0,General Petite,Tops,28/08/2017
829,35 to 54,5,1,0,General Petite,Tops,6/12/17
1008,35 to 54,5,1,1,General,Bottoms,6/12/17
523,35 to 54,3,0,2,Initmates,Intimate,4/12/17
829,35 to 54,4,1,7,General Petite,Tops,26/05/2018
829,25 to 34,4,1,0,General Petite,Tops,26/05/2018
1126,35 to 54,4,1,0,General,Jackets,31/07/2017
829,35 to 54,1,0,8,General Petite,Tops,26/07/2017
829,55 to 64,4,1,2,General Petite,Tops,10/10/17
1008,35 to 54,5,1,7,General,Bottoms,26/05/2018
1126,35 to 54,4,1,0,General,Jackets,28/09/2017
829,35 to 54,3,0,0,General Petite,Tops,6/9/17
1020,55 to 64,5,1,6,General Petite,Bottoms,30/08/2017
895,55 to 64,5,1,0,General,Tops,23/08/2017
862,35 to 54,5,1,0,General,Tops,28/09/2017
1104,35 to 54,5,1,3,General,Dresses,18/09/2017
670,35 to 54,5,1,0,Initmates,Intimate,12/9/17
329,35 to 54,5,1,0,Initmates,Intimate,8/9/17
670,65+,4,1,0,Initmates,Intimate,31/08/2017
868,35 to 54,4,1,0,General Petite,Tops,1/6/17
1020,25 to 34,5,1,5,General Petite,Bottoms,1/6/17
862,25 to 34,4,1,4,General,Tops,1/5/17
895,35 to 54,5,1,9,General,Tops,10/5/17
895,35 to 54,5,1,0,General,Tops,9/5/17
1094,35 to 54,2,0,0,General Petite,Dresses,26/04/2017
895,35 to 54,5,1,3,General,Tops,18/05/2017
895,35 to 54,5,1,1,General,Tops,31/03/2017
1020,35 to 54,4,1,1,General Petite,Bottoms,30/03/2017
895,35 to 54,5,1,5,General,Tops,22/03/2017
1020,25 to 34,4,1,1,General Petite,Bottoms,15/03/2017
895,25 to 34,2,0,8,General,Tops,10/3/17
895,35 to 54,2,0,0,General,Tops,5/3/17
1020,25 to 34,4,1,0,General Petite,Bottoms,4/3/17
596,35 to 54,5,1,2,General,Trend,1/8/17
1094,35 to 54,4,1,0,General Petite,Dresses,8/9/17
1020,35 to 54,4,1,4,General Petite,Bottoms,31/08/2017
895,35 to 54,4,1,0,General Petite,Tops,30/08/2017
895,35 to 54,2,0,3,General Petite,Tops,1/8/17
895,35 to 54,5,1,0,General Petite,Tops,1/8/17
1020,18 to 24,5,1,1,General Petite,Bottoms,26/07/2017
1098,35 to 54,3,1,0,General,Dresses,1/8/17
895,55 to 64,5,1,9,General Petite,Tops,30/08/2017
862,25 to 34,5,1,2,General Petite,Tops,26/07/2017
1020,35 to 54,5,1,3,General Petite,Bottoms,10/3/17
895,35 to 54,5,1,0,General,Tops,1/6/17
1020,35 to 54,3,0,0,General Petite,Bottoms,1/6/17
895,35 to 54,3,0,0,General,Tops,1/5/17
895,35 to 54,5,1,0,General,Tops,10/5/17
895,35 to 54,3,0,0,General,Tops,9/5/17
895,55 to 64,5,1,1,General,Tops,26/04/2017
828,55 to 64,4,0,4,General,Tops,18/05/2017
1020,35 to 54,3,0,9,General Petite,Bottoms,31/03/2017
862,35 to 54,5,1,1,General,Tops,30/03/2017
1020,35 to 54,4,1,1,General Petite,Bottoms,22/03/2017
895,35 to 54,5,1,0,General,Tops,15/03/2017
862,35 to 54,1,0,1,General,Tops,5/3/17
895,35 to 54,5,1,0,General,Tops,4/3/17
1020,65+,4,1,5,General Petite,Bottoms,6/12/17
1075,35 to 54,4,1,3,General,Dresses,16/11/2017
1104,35 to 54,5,1,0,General,Dresses,9/11/17
1020,65+,1,0,17,General Petite,Bottoms,1/11/17
1094,35 to 54,5,1,0,General Petite,Dresses,17/09/2017
305,35 to 54,2,0,0,Initmates,Intimate,15/08/2017
828,55 to 64,5,1,3,General,Tops,23/07/2017
1094,25 to 34,5,1,0,General Petite,Dresses,10/10/17
828,35 to 54,5,1,1,General,Tops,28/08/2017
895,35 to 54,4,1,5,General Petite,Tops,11/8/17
1020,35 to 54,5,1,1,General Petite,Bottoms,31/07/2017
895,55 to 64,5,1,0,General Petite,Tops,1/8/17
647,25 to 34,5,1,1,General Petite,Intimate,26/07/2017
1025,35 to 54,4,1,10,General,Bottoms,26/05/2018
1025,35 to 54,5,1,14,General,Bottoms,26/04/2018
815,55 to 64,5,1,1,General Petite,Tops,4/5/18
1066,55 to 64,4,1,3,General,Bottoms,1/6/18
840,55 to 64,4,1,5,General,Tops,26/04/2018
1026,35 to 54,4,1,0,General,Bottoms,8/6/18
840,35 to 54,5,1,13,General,Tops,6/12/17
1066,35 to 54,5,1,8,General,Bottoms,4/5/18
840,35 to 54,2,0,1,General,Tops,6/12/17
1030,25 to 34,5,1,1,General,Bottoms,4/12/17
840,65+,5,1,0,General,Tops,26/04/2018
1066,25 to 34,5,1,1,General,Bottoms,18/11/2017
647,35 to 54,5,1,0,General Petite,Intimate,1/6/18
1066,35 to 54,2,0,0,General,Bottoms,12/12/17
872,55 to 64,5,1,0,General,Tops,14/07/2017
840,55 to 64,3,0,20,General,Tops,7/5/18
1066,55 to 64,4,1,0,General,Bottoms,4/6/18
647,25 to 34,1,0,3,General Petite,Intimate,25/07/2018
1066,25 to 34,5,1,0,General,Bottoms,9/1/18
840,55 to 64,4,1,0,General,Tops,8/12/17
1066,35 to 54,3,1,0,General,Bottoms,8/12/17
872,35 to 54,5,1,0,General,Tops,5/12/17
1066,35 to 54,3,1,1,General,Bottoms,18/11/2017
1115,35 to 54,4,1,1,General,Jackets,23/07/2017
1030,25 to 34,5,1,0,General,Bottoms,10/10/17
1018,25 to 34,4,1,0,General,Bottoms,28/08/2017
1026,35 to 54,5,1,1,General,Bottoms,12/8/17
840,25 to 34,5,1,0,General,Tops,31/07/2017
1066,25 to 34,5,1,1,General,Bottoms,26/07/2017
647,25 to 34,5,1,6,General Petite,Intimate,17/10/2017
840,25 to 34,5,1,0,General,Tops,22/09/2017
840,35 to 54,4,1,1,General,Tops,20/09/2017
840,35 to 54,5,1,1,General,Tops,22/08/2017
1018,35 to 54,4,1,0,General,Bottoms,29/08/2017
840,35 to 54,3,0,1,General,Tops,19/08/2017
824,35 to 54,5,1,1,General,Tops,20/09/2017
1115,25 to 34,5,1,2,General,Jackets,2/3/17
840,35 to 54,5,1,0,General,Tops,26/05/2018
878,35 to 54,3,0,1,General,Tops,5/6/18
984,55 to 64,5,1,2,General Petite,Jackets,8/12/17
1104,25 to 34,5,1,6,General,Dresses,22/01/2018
878,55 to 64,4,1,0,General,Tops,20/06/2018
1104,35 to 54,5,1,0,General,Dresses,4/4/17
984,25 to 34,4,1,0,General Petite,Jackets,30/10/2017
866,25 to 34,4,1,0,General,Tops,28/10/2017
1104,25 to 34,5,1,0,General,Dresses,25/10/2017
868,55 to 64,3,1,0,General,Tops,21/10/2017
984,35 to 54,5,1,1,General Petite,Jackets,23/07/2017
984,35 to 54,5,1,7,General Petite,Jackets,30/03/2017
1104,35 to 54,5,1,0,General,Dresses,15/03/2017
878,35 to 54,5,1,11,General,Tops,10/3/17
1182,35 to 54,5,1,0,General Petite,Tops,4/3/17
868,55 to 64,5,1,0,General,Tops,3/3/17
868,65+,5,1,1,General,Tops,16/11/2017
868,35 to 54,3,1,2,General,Tops,11/11/17
565,35 to 54,5,1,3,General Petite,Trend,9/7/17
984,35 to 54,5,1,0,General Petite,Jackets,12/8/17
1104,35 to 54,5,1,7,General,Dresses,10/10/17
868,65+,5,1,4,General,Tops,12/8/17
878,35 to 54,5,1,1,General,Tops,26/07/2017
868,65+,4,1,0,General,Tops,1/6/17
1104,35 to 54,5,1,0,General,Dresses,15/03/2017
868,35 to 54,2,0,1,General,Tops,10/3/17
984,65+,5,1,0,General Petite,Jackets,4/3/17
878,35 to 54,2,0,0,General,Tops,3/3/17
984,55 to 64,5,1,0,General Petite,Jackets,10/10/17
984,35 to 54,5,1,2,General Petite,Jackets,29/08/2017
984,65+,5,1,0,General Petite,Jackets,31/07/2017
1024,65+,5,1,0,General,Bottoms,1/8/17
984,65+,3,1,16,General Petite,Jackets,9/5/17
984,35 to 54,5,1,3,General Petite,Jackets,1/5/17
1104,25 to 34,5,1,7,General,Dresses,18/05/2017
1024,35 to 54,5,1,0,General,Bottoms,4/4/17
984,35 to 54,5,1,0,General Petite,Jackets,29/08/2017
1104,35 to 54,5,1,0,General,Dresses,31/07/2017
984,25 to 34,5,1,0,General Petite,Jackets,1/8/17
1104,35 to 54,4,1,1,General,Dresses,7/7/17
984,35 to 54,5,1,0,General Petite,Jackets,9/5/17
895,35 to 54,5,1,0,General,Tops,1/5/17
1104,35 to 54,5,1,0,General,Dresses,18/05/2017
1131,35 to 54,3,1,2,General,Jackets,26/07/2017
984,35 to 54,5,1,0,General Petite,Jackets,1/6/17
1104,55 to 64,5,1,0,General,Dresses,30/03/2017
831,35 to 54,5,1,0,General,Tops,26/05/2018
984,35 to 54,4,1,2,General Petite,Jackets,28/09/2014
1104,55 to 64,5,1,0,General,Dresses,28/09/2014
836,35 to 54,5,1,0,General,Tops,27/01/2018
1089,35 to 54,3,0,6,General Petite,Dresses,25/01/2018
844,25 to 34,3,0,0,General Petite,Tops,9/1/18
836,25 to 34,4,1,4,General,Tops,13/01/2018
836,55 to 64,3,0,3,General,Tops,9/12/17
836,18 to 24,5,1,8,General,Tops,8/12/17
836,55 to 64,5,1,0,General,Tops,5/12/17
844,35 to 54,5,1,4,General Petite,Tops,18/11/2017
936,25 to 34,5,1,2,General Petite,Tops,17/10/2017
895,55 to 64,5,1,7,General,Tops,22/09/2017
836,35 to 54,5,1,23,General,Tops,24/09/2017
831,35 to 54,5,1,3,General,Tops,30/08/2017
844,35 to 54,5,1,13,General Petite,Tops,22/08/2017
895,35 to 54,5,1,0,General,Tops,3/5/18
1066,35 to 54,5,1,0,General,Bottoms,7/5/18
844,35 to 54,2,0,0,General Petite,Tops,6/5/18
836,35 to 54,5,1,1,General,Tops,21/03/2017
836,18 to 24,4,1,0,General,Tops,5/3/17
907,25 to 34,5,1,0,General,Tops,28/08/2017
836,35 to 54,5,1,0,General,Tops,26/04/2017
844,35 to 54,3,0,0,General Petite,Tops,31/03/2017
1103,35 to 54,4,1,2,General,Dresses,13/01/2018
866,35 to 54,5,1,5,General,Tops,7/12/17
907,25 to 34,5,1,6,General,Tops,7/12/17
844,35 to 54,1,0,17,General Petite,Tops,5/12/17
895,65+,5,1,6,General,Tops,18/11/2017
895,25 to 34,5,1,2,General,Tops,22/08/2017
1080,65+,5,1,9,General Petite,Dresses,29/08/2017
831,55 to 64,5,1,0,General,Tops,19/08/2017
844,35 to 54,5,1,0,General Petite,Tops,26/04/2018
844,35 to 54,4,1,0,General Petite,Tops,28/09/2014
831,35 to 54,5,1,0,General,Tops,1/8/17
836,25 to 34,5,1,0,General,Tops,1/8/17
907,35 to 54,5,1,3,General,Tops,26/07/2017
844,35 to 54,3,0,2,General Petite,Tops,6/12/17
895,18 to 24,5,1,0,General,Tops,26/04/2018
895,65+,5,1,1,General,Tops,1/6/17
907,25 to 34,5,1,1,General,Tops,1/6/17
844,35 to 54,5,1,0,General Petite,Tops,1/5/17
836,25 to 34,3,0,15,General,Tops,9/5/17
844,35 to 54,2,0,0,General Petite,Tops,18/05/2017
844,65+,4,1,7,General Petite,Tops,30/03/2017
844,35 to 54,5,1,1,General Petite,Tops,15/03/2017
936,25 to 34,2,0,0,General Petite,Tops,10/3/17
907,35 to 54,5,1,4,General,Tops,4/3/17
936,25 to 34,5,1,0,General Petite,Tops,1/6/18
831,35 to 54,1,0,6,General,Tops,10/10/17
907,35 to 54,5,1,2,General,Tops,18/09/2017
862,25 to 34,3,0,0,General Petite,Tops,30/08/2017
836,35 to 54,3,1,3,General,Tops,12/8/17
936,35 to 54,4,1,17,General Petite,Tops,1/8/17
895,35 to 54,5,1,0,General Petite,Tops,1/8/17
836,65+,3,0,0,General,Tops,26/07/2017
580,55 to 64,5,1,1,Initmates,Intimate,1/6/17
895,35 to 54,5,1,0,General Petite,Tops,1/6/17
862,35 to 54,4,1,0,General,Tops,1/5/17
862,35 to 54,5,1,1,General,Tops,9/5/17
844,35 to 54,5,1,4,General Petite,Tops,18/05/2017
836,25 to 34,2,0,0,General,Tops,30/03/2017
895,35 to 54,5,1,0,General Petite,Tops,15/03/2017
836,25 to 34,5,1,0,General,Tops,10/3/17
895,55 to 64,5,1,4,General Petite,Tops,4/3/17
895,55 to 64,5,1,1,General Petite,Tops,3/3/17
895,35 to 54,5,1,2,General Petite,Tops,27/05/2018
836,35 to 54,5,1,6,General,Tops,10/10/17
859,25 to 34,4,1,0,General,Tops,6/9/17
862,35 to 54,3,0,0,General,Tops,13/09/2017
1049,35 to 54,5,1,0,General,Bottoms,31/07/2017
862,35 to 54,5,1,10,General,Tops,1/8/17
1089,65+,5,1,0,General Petite,Dresses,26/07/2017
1089,18 to 24,4,1,1,General Petite,Dresses,25/11/2015
1104,55 to 64,3,0,13,General,Dresses,29/07/2017
127,35 to 54,4,1,0,General Petite,Intimate,22/06/2018
1104,35 to 54,3,1,0,General,Dresses,1/6/18
936,25 to 34,5,1,0,General,Tops,22/09/2017
902,35 to 54,4,1,3,General,Tops,6/12/17
995,35 to 54,2,0,11,General,Bottoms,4/12/17
936,55 to 64,5,1,9,General,Tops,14/08/2015
127,25 to 34,4,1,0,General Petite,Intimate,22/08/2017
1104,35 to 54,1,0,20,General,Dresses,6/12/17
1086,25 to 34,4,1,9,General,Dresses,18/11/2017
936,25 to 34,5,1,1,General,Tops,24/09/2017
746,25 to 34,3,1,0,Initmates,Intimate,29/08/2017
1081,35 to 54,4,1,3,General Petite,Dresses,19/08/2017
127,35 to 54,3,1,0,General Petite,Intimate,2/3/18
936,25 to 34,3,0,1,General,Tops,6/12/17
127,35 to 54,3,0,2,General Petite,Intimate,21/10/2017
1035,25 to 34,5,1,0,General,Bottoms,17/09/2017
902,35 to 54,4,1,6,General,Tops,11/10/17
995,55 to 64,5,1,11,General,Bottoms,15/08/2017
1104,35 to 54,5,1,0,General,Dresses,4/4/17
1089,25 to 34,5,1,0,General Petite,Dresses,22/07/2017
1086,25 to 34,3,0,9,General,Dresses,22/08/2017
902,25 to 34,2,1,6,General,Tops,24/08/2017
902,55 to 64,5,1,3,General,Tops,28/08/2017
1094,35 to 54,5,1,1,General,Dresses,10/10/17
1086,18 to 24,3,0,3,General,Dresses,28/08/2017
936,55 to 64,5,1,1,General,Tops,12/8/17
1036,65+,4,1,0,General,Bottoms,1/8/17
936,35 to 54,5,1,0,General,Tops,1/6/17
1094,25 to 34,5,1,1,General,Dresses,9/5/17
1094,35 to 54,5,1,3,General,Dresses,1/5/17
1086,18 to 24,5,1,6,General,Dresses,18/05/2017
127,35 to 54,5,1,1,General Petite,Intimate,4/4/17
127,35 to 54,5,1,0,General Petite,Intimate,15/03/2017
1083,35 to 54,4,1,2,General,Dresses,10/3/17
872,35 to 54,5,1,14,General,Tops,4/3/17
1083,35 to 54,2,0,2,General,Dresses,3/3/17
831,35 to 54,5,1,0,General,Tops,30/03/2017
1080,25 to 34,3,1,1,General,Dresses,11/10/17
1077,65+,5,1,2,General,Dresses,28/10/2017
872,65+,4,1,0,General,Tops,10/10/17
964,35 to 54,5,1,2,General,Jackets,28/08/2017
1089,35 to 54,3,1,1,General Petite,Dresses,12/8/17
872,18 to 24,4,1,1,General,Tops,1/8/17
1083,35 to 54,5,1,0,General,Dresses,1/6/17
829,25 to 34,4,1,0,General,Tops,9/5/17
964,25 to 34,5,1,0,General,Jackets,1/5/17
1089,35 to 54,5,1,0,General Petite,Dresses,18/05/2017
829,25 to 34,5,1,0,General,Tops,30/03/2017
829,35 to 54,5,1,0,General,Tops,15/03/2017
967,55 to 64,5,1,1,General,Jackets,10/3/17
829,35 to 54,4,1,2,General,Tops,4/3/17
829,35 to 54,4,1,0,General,Tops,3/3/17
872,35 to 54,4,1,19,General,Tops,7/9/17
872,25 to 34,4,1,0,General,Tops,29/08/2017
149,35 to 54,4,1,1,Initmates,Intimate,26/05/2018
964,55 to 64,5,1,4,General,Jackets,21/01/2018
1030,55 to 64,5,1,1,General,Bottoms,10/10/17
964,35 to 54,5,1,5,General,Jackets,12/9/17
1083,35 to 54,4,0,0,General,Dresses,6/9/17
872,55 to 64,4,1,1,General,Tops,30/08/2017
872,55 to 64,5,1,1,General,Tops,18/09/2017
829,35 to 54,4,1,6,General,Tops,23/08/2017
872,65+,4,1,0,General,Tops,31/07/2017
964,25 to 34,5,1,0,General,Jackets,1/8/17
1089,25 to 34,3,1,0,General Petite,Dresses,26/07/2017
872,25 to 34,3,0,3,General,Tops,1/6/17
872,35 to 54,5,1,1,General,Tops,1/6/17
872,35 to 54,5,1,0,General,Tops,9/5/17
1077,25 to 34,2,0,0,General,Dresses,1/5/17
967,55 to 64,4,1,1,General,Jackets,30/03/2017
872,25 to 34,5,1,2,General,Tops,15/03/2017
964,35 to 54,5,1,1,General,Jackets,10/3/17
872,35 to 54,5,1,2,General,Tops,4/3/17
234,25 to 34,5,1,0,Initmates,Intimate,30/11/2015
149,25 to 34,4,1,0,Initmates,Intimate,12/9/17
829,55 to 64,4,1,0,General,Tops,6/9/17
829,35 to 54,4,1,0,General,Tops,30/08/2017
872,65+,5,1,0,General,Tops,23/08/2017
872,35 to 54,5,1,6,General,Tops,31/07/2017
850,35 to 54,5,1,5,General Petite,Tops,1/8/17
850,18 to 24,3,0,1,General Petite,Tops,26/07/2017
724,65+,4,1,1,Initmates,Intimate,10/7/17
833,35 to 54,5,1,0,General,Tops,7/7/17
862,35 to 54,5,1,6,General,Tops,9/5/17
850,55 to 64,5,1,4,General Petite,Tops,15/03/2017
1078,55 to 64,5,1,1,General,Dresses,10/3/17
850,35 to 54,5,1,0,General Petite,Tops,4/3/17
1104,25 to 34,5,1,1,General,Dresses,30/11/2015
1078,25 to 34,3,0,0,General,Dresses,17/09/2017
984,35 to 54,4,1,0,General,Jackets,14/08/2017
850,65+,5,1,3,General Petite,Tops,18/07/2017
204,25 to 34,5,1,0,Initmates,Intimate,29/07/2017
1078,18 to 24,5,1,1,General,Dresses,21/07/2017
862,35 to 54,2,0,2,General,Tops,21/07/2017
1078,35 to 54,5,1,1,General,Dresses,12/7/17
984,35 to 54,5,1,2,General,Jackets,16/07/2017
1008,18 to 24,4,1,0,General,Bottoms,10/7/17
841,35 to 54,4,1,0,General Petite,Tops,8/7/17
1104,35 to 54,3,0,0,General,Dresses,14/07/2017
850,35 to 54,5,1,1,General Petite,Tops,11/7/17
1081,35 to 54,5,1,0,General,Dresses,7/7/17
833,35 to 54,4,1,1,General,Tops,10/7/17
850,55 to 64,4,1,0,General Petite,Tops,25/06/2017
862,35 to 54,4,1,0,General Petite,Tops,2/7/17
1078,35 to 54,5,1,1,General,Dresses,3/7/17
850,35 to 54,5,1,4,General Petite,Tops,4/7/17
850,35 to 54,5,1,0,General Petite,Tops,5/7/17
831,55 to 64,5,1,0,General,Tops,6/7/17
833,35 to 54,5,1,0,General,Tops,26/06/2017
984,35 to 54,4,1,0,General,Jackets,26/06/2017
1078,25 to 34,4,1,4,General,Dresses,22/06/2017
